iter	Passed	Remaining
654	2780	1464
655	2785	1460
656	2788	1456
657	2792	1451
658	2796	1446
659	2801	1443
660	2806	1439
661	2810	1434
662	2814	1430
663	2819	1426
664	2823	1422
665	2828	1418
666	2833	1414
667	2836	1409
668	2840	1405
669	2843	1400
670	2848	1396
671	2852	1392
672	2855	1387
673	2858	1382
674	2861	1377
675	2866	1373
676	2870	1369
677	2873	1364
678	2876	1360
679	2881	1356
680	2885	1351
681	2888	1346
682	2891	1342
683	2895	1337
684	2899	1333
685	2903	1328
686	2906	1324
687	2909	1319
688	2914	1315
689	2917	1310
690	2921	1306
691	2924	1301
692	2927	1296
693	2932	1292
694	2935	1288
695	2938	1283
696	2942	1278
697	2946	1274
698	2950	1270
699	2953	1265
700	2956	1261
701	2960	1256
702	2964	1252
703	2967	1247
704	2971	1243
705	2974	1238
706	2978	1234
707	2981	1229
708	2985	1225
709	2988	1220
710	2991	1216
711	2996	1212
712	2999	1207
713	3003	1203
714	3006	1198
715	3011	1194
716	3014	1189
717	3017	1185
718	3021	1180
719	3024	1176
720	3028	1172
721	3032	1167
722	3035	1162
723	3038	1158
724	3042	1153
725	3046	1149
726	3049	1145
727	3053	1140
728	3056	1136
729	3061	1132
730	3064	1127
731	3068	1123
732	3071	1118
733	3075	1114
734	3079	1110
735	3082	1105
736	3087	1101
737	3093	1098
738	3097	1093
739	3100	1089
740	3104	1085
741	3108	1081
742	3113	1076
743	3116	1072
744	3120	1068
745	3126	1064
746	3130	1060
747	3133	1055
748	3138	1051
749	3143	1047
750	3146	1043
751	3151	1039
752	3155	1034
753	3160	1031
754	3163	1026
755	3166	1022
756	3170	1017
757	3178	1014
758	3181	1010
759	3187	1006
760	3193	1002
761	3197	998
762	3201	994
763	3207	990
764	3211	986
765	3214	982
766	3219	977
767	3223	973
768	3228	969
769	3232	965
770	3239	962
771	3243	957
772	3247	953
773	3252	949
774	3258	945
775	3261	941
776	3265	937
777	3271	933
778	3275	929
779	3278	924
780	3283	920
781	3287	916
782	3292	912
783	3296	908
784	3300	903
785	3307	900
786	3311	896
787	3315	892
788	3322	888
789	3326	884
790	3329	879
791	3334	875
792	3340	871
793	3343	867
794	3348	863
795	3354	859
796	3357	855
797	3360	850
798	3365	846
799	3369	842
800	3373	838
801	3377	833
802	3380	829
803	3385	825
804	3390	821
805	3393	816
806	3398	812
807	3403	808
808	3407	804
809	3411	800
810	3415	795
811	3421	792
812	3424	787
813	3427	783
814	3431	778
815	3436	774
816	3440	770
817	3443	766
818	3449	762
819	3454	758
820	3458	753
821	3461	749
822	3465	745
823	3471	741
824	3474	737
825	3480	733
826	3485	729
827	3489	724
828	3493	720
829	3497	716
830	3502	712
831	3506	707
832	3510	703
833	3513	699
834	3518	695
835	3522	690
836	3526	686
837	3529	682
838	3534	678
839	3538	673
840	3541	669
841	3545	665
842	3550	661
843	3554	656
844	3557	652
845	3561	648
846	3567	644
847	3571	640
848	3574	635
849	3578	631
850	3584	627
851	3587	623
852	3592	619
853	3595	614
854	3601	610
855	3604	606
856	3608	602
857	3611	597
858	3616	593
859	3620	589
860	3623	584
861	3626	580
862	3630	576
863	3635	572
864	3639	567
865	3642	563
866	3646	559
867	3650	555
868	3653	550
869	3656	546
870	3660	542
871	3665	538
872	3668	533
873	3672	529
874	3675	525
875	3680	521
876	3684	516
877	3688	512
878	3691	508
879	3696	504
880	3700	499
881	3703	495
882	3707	491
883	3710	486
884	3715	482
885	3718	478
886	3721	474
887	3724	469
888	3728	465
889	3732	461
890	3736	457
891	3739	452
892	3742	448
893	3747	444
894	3750	439
895	3753	435
896	3756	431
897	3760	427
898	3764	422
899	3767	418
900	3770	414
901	3774	410
902	3779	405
903	3782	401
904	3786	397
905	3789	393
906	3792	388
907	3797	384
908	3800	380
909	3804	376
910	3808	372
911	3812	367
912	3816	363
913	3819	359
914	3823	355
915	3828	351
916	3831	346
917	3835	342
918	3838	338
919	3842	334
920	3846	329
921	3849	325
922	3853	321
923	3856	317
924	3860	313
925	3864	308
926	3867	304
927	3870	300
928	3874	296
929	3879	291
930	3882	287
931	3885	283
932	3888	279
933	3893	275
934	3897	270
935	3900	266
936	3903	262
937	3907	258
938	3911	254
939	3914	249
940	3917	245
941	3920	241
942	3925	237
943	3928	233
944	3931	228
945	3935	224
946	3938	220
947	3942	216
948	3946	212
949	3949	207
950	3952	203
951	3955	199
952	3959	195
953	3962	191
954	3966	186
955	3969	182
956	3973	178
957	3977	174
958	3980	170
959	3983	165
960	3987	161
961	3992	157
962	3995	153
963	3999	149
964	4002	145
965	4007	141
966	4010	136
967	4014	132
968	4017	128
969	4021	124
970	4025	120
971	4028	116
972	4032	111
973	4035	107
974	4040	103
975	4043	99
976	4047	95
977	4050	91
978	4054	86
979	4058	82
980	4061	78
981	4065	74
982	4069	70
983	4074	66
984	4077	62
985	4080	57
986	4083	53
987	4088	49
988	4092	45
989	4096	41
990	4099	37
991	4104	33
992	4108	28
993	4112	24
994	4115	20
995	4118	16
996	4123	12
997	4126	8
998	4130	4
999	4133	0
